dataset,grain,planning_unit,transfer_regime,strategy,WAPE,intermittency,total_holding_cost,total_shortage_cost,total_order_change_cost,total_expedite_cost,total_switching_cost,total_dynamic_cost,fill_rate,average_on_hand_inventory,ending_backlog,total_lost_sales,execution_violation_units,planning_execution_gap_rate,plan_volatility,switch_count,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag
M5,item_store,FOODS_3_226__WI_3,strict_frozen,simple_ensemble_rate_limited,0.1329822604981499,low,413.5934457790445,921.7093965218248,18.935836044869426,0.0,0.0,1354.238678345739,0.8577748124968507,14.771194492108734,0.0,0.0,239.9620433361572,0.2857142857142857,378.7167208973885,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_3,strict_frozen,best_single_model_rate_limited,0.1323441967489679,low,469.2197189934692,750.3513871278786,16.536560306219705,0.0,0.0,1236.107666427568,0.8832137918867115,16.757847106909615,0.0,0.0,159.0592207617492,0.3214285714285714,330.7312061243941,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_3,strict_frozen,operationally_weighted_ensemble,0.1329822604981499,low,413.5934457790445,921.7093965218248,18.935836044869426,0.0,0.0,1354.238678345739,0.8577748124968507,14.771194492108734,0.0,0.0,239.9620433361572,0.2857142857142857,378.7167208973885,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,accuracy_first,1.0210757438353526,medium,6.274327227526693,6781.62401539516,1.419484582708162,0.0,0.0,6789.317827205396,0.1171571821939968,0.2240831152688104,35.27984896450569,0.0,1559.3202732179614,0.8571428571428571,28.389691654163236,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,accuracy_rate_limited,1.0210757438353526,medium,6.274327227526693,6781.62401539516,1.419484582708162,0.0,0.0,6789.317827205396,0.1171571821939968,0.2240831152688104,35.27984896450569,0.0,1464.3872289795956,0.8571428571428571,28.389691654163236,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,simple_ensemble,1.0631651413159813,medium,2.473000159939557,6577.70418049728,1.386786942969232,0.0,0.0,6581.563967600188,0.1095419646189217,0.0883214342835556,32.95329620579412,0.0,1501.965398617728,0.8928571428571429,27.735738859384632,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,simple_ensemble_rate_limited,1.0631651413159813,medium,2.473000159939557,6577.70418049728,1.386786942969232,0.0,0.0,6581.563967600188,0.1095419646189217,0.0883214342835556,32.95329620579412,0.0,1263.3272120517624,0.8928571428571429,27.735738859384632,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,best_single_model_rate_limited,1.0210757438353526,medium,6.274327227526693,6781.62401539516,1.419484582708162,0.0,0.0,6789.317827205396,0.1171571821939968,0.2240831152688104,35.27984896450569,0.0,1464.3872289795956,0.8571428571428571,28.389691654163236,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__CA_3,strict_frozen,operationally_weighted_ensemble,1.0631651413159813,medium,2.473000159939557,6577.70418049728,1.386786942969232,0.0,0.0,6581.563967600188,0.1095419646189217,0.0883214342835556,32.95329620579412,0.0,1501.965398617728,0.8928571428571429,27.735738859384632,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,accuracy_first,0.6749477718060669,high,17.567415153526028,5385.941286122506,0.3375000000000001,0.0,0.0,5403.846201276032,0.0151714081486021,0.6274076840545012,246.52049364994627,0.0,1307.244716161154,0.3928571428571428,6.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,accuracy_rate_limited,0.6749477718060669,high,17.567415153526028,5385.941286122506,0.3375000000000001,0.0,0.0,5403.846201276032,0.0151714081486021,0.6274076840545012,246.52049364994627,0.0,843.3982006980361,0.3928571428571428,6.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,simple_ensemble,0.6372230766245893,high,18.853464084391035,5395.815225627417,0.3875,0.0,0.0,5415.056189711808,0.0164374609428116,0.6733380030139654,247.2851824369963,0.0,1149.590429627169,0.3928571428571428,7.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,simple_ensemble_rate_limited,0.6372230766245893,high,18.853464084391035,5395.815225627417,0.3875,0.0,0.0,5415.056189711808,0.0164374609428116,0.6733380030139654,247.2851824369963,0.0,841.4856913884096,0.3928571428571428,7.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,best_single_model_rate_limited,0.6749477718060669,high,17.567415153526028,5385.941286122506,0.3375000000000001,0.0,0.0,5403.846201276032,0.0151714081486021,0.6274076840545012,246.52049364994627,0.0,843.3982006980361,0.3928571428571428,6.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_2,strict_frozen,operationally_weighted_ensemble,0.6372230766245893,high,18.853464084391035,5395.815225627417,0.3875,0.0,0.0,5415.056189711808,0.0164374609428116,0.6733380030139654,247.2851824369963,0.0,1149.590429627169,0.3928571428571428,7.75,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_3,strict_frozen,accuracy_first,0.5702253584422904,low,154.10404748721942,15475.9585139995,2.067857142857143,0.0,0.0,15632.130418629577,0.1333724041257289,5.503715981686407,62.69343567283817,0.0,3509.346020239625,0.8928571428571429,41.35714285714285,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_3,strict_frozen,accuracy_rate_limited,0.5702253584422904,low,154.10404748721942,15475.9585139995,2.067857142857143,0.0,0.0,15632.130418629577,0.1333724041257289,5.503715981686407,62.69343567283817,0.0,3495.569291410196,0.8928571428571429,41.35714285714285,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_3,strict_frozen,simple_ensemble,0.5855102572344844,low,159.99343135773185,9776.874786346269,1.809375,0.0,0.0,9938.677592704,0.1536396834564745,5.714051119918994,8.875554494449972,0.0,2233.7043078417723,0.8571428571428571,36.1875,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_3,strict_frozen,simple_ensemble_rate_limited,0.5855102572344844,low,159.99343135773185,9776.874786346269,1.809375,0.0,0.0,9938.677592704,0.1536396834564745,5.714051119918994,8.875554494449972,0.0,2205.262323460395,0.8571428571428571,36.1875,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_234__WI_3,strict_frozen,best_single_model_rate_limited,0.5702253584422904,low,154.10404748721942,15475.9585139995,2.067857142857143,0.0,0.0,15632.130418629577,0.1333724041257289,5.503715981686407,62.69343567283817,0.0,3495.569291410196,0.8928571428571429,41.35714285714285,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
