planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_3_080__CA_1,tight_capacity,48,0.2,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,96,0.05,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,96,0.1,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,96,0.2,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,192,0.05,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,192,0.1,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__CA_1,tight_capacity,192,0.2,4649.154308035713,4904.445499999999,5.4911318284926365
FOODS_3_080__TX_2,long_lead,48,0.05,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,48,0.1,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,48,0.2,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,96,0.05,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,96,0.1,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,96,0.2,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,192,0.05,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,192,0.1,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,long_lead,192,0.2,2094.6313573439706,1129.0874184494883,-46.096127392975205
FOODS_3_080__TX_2,tight_capacity,48,0.05,4486.447479052735,4858.496945093766,8.292740922035392
FOODS_3_080__TX_2,tight_capacity,48,0.1,4486.447479052735,4125.468280049392,-8.045991860793155
FOODS_3_080__TX_2,tight_capacity,48,0.2,4486.447479052735,4858.496945093766,8.292740922035392
FOODS_3_080__TX_2,tight_capacity,96,0.05,4486.447479052735,4125.468280049392,-8.045991860793155
FOODS_3_080__TX_2,tight_capacity,96,0.1,4486.447479052735,4573.250903633377,1.9347919481043312
FOODS_3_080__TX_2,tight_capacity,96,0.2,4486.447479052735,4858.496945093766,8.292740922035392
FOODS_3_080__TX_2,tight_capacity,192,0.05,4486.447479052735,4573.250903633377,1.9347919481043312
FOODS_3_080__TX_2,tight_capacity,192,0.1,4486.447479052735,4573.250903633377,1.9347919481043312
